1370;G;ABACAVIR ARROW 300 mg, comprimé pelliculé sécable
1370;G;ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable
1370;G;ABACAVIR VIATRIS 300 mg, comprimé pelliculé sécable
1362;G;ABACAVIR/LAMIVUDINE ACCORD 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE VIATRIS 600 mg/300 mg, comprimé pelliculé
1362;G;ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg, comprimé pelliculé
1460;G;ABACAVIR/LAMIVUDINE/ZIDOVUDINE VIATRIS 300 mg/150 mg/300 mg, comprimé pelliculé
1582;R;ABILIFY 1 mg/mL, solution buvable
1247;R;ABILIFY 10 mg, comprimé
1282;R;ABILIFY 10 mg, comprimé orodispersible
1248;R;ABILIFY 15 mg, comprimé
1283;R;ABILIFY 15 mg, comprimé orodispersible
1285;R;ABILIFY 30 mg, comprimé
1284;R;ABILIFY 30 mg, comprimé orodispersible
1246;R;ABILIFY 5 mg, comprimé
1771;G;ABIRATERONE ACCORD 250 mg, comprimé
1772;G;ABIRATERONE ACCORD 500 mg, comprimé pelliculé
1772;G;ABIRATERONE ACETATE ZYDUS 500 mg, comprimé pelliculé
1771;G;ABIRATERONE AET 250 mg, comprimé
1772;G;ABIRATERONE AET 500 mg, comprimé pelliculé
1772;G;ABIRATERONE ARROW 500 mg, comprimé pelliculé
1772;G;ABIRATERONE BIOGARAN 500 mg, comprimé pelliculé
1772;G;ABIRATERONE CIPLA 500 mg, comprimé pelliculé
1772;G;ABIRATERONE CRISTERS 500 mg, comprimé pelliculé
1772;G;ABIRATERONE EG 500 mg, comprimé pelliculé
1772;G;ABIRATERONE EVOLUGEN 500 mg, comprimé pelliculé
1772;G;ABIRATERONE KRKA 500 mg, comprimé pelliculé
